Sequence Id,Year,Month,Day,Season
A/NewYork/264/1999,1999,3,3,Winter
A/NewYork/265/1999,1999,1,29,Winter
A/NewYork/267/2003,2003,11,28,Winter
A/NewYork/268/2003,2003,11,27,Winter
A/NewYork/269/2003,2003,11,28,Winter
A/NewYork/270/2003,2003,11,18,Winter
A/NewYork/284/1999,1999,3,8,Winter
A/NewYork/286/1999,1999,3,19,Winter
A/NewYork/287/1998,1998,12,29,Winter
A/NewYork/248/1999,1999,2,2,Winter
A/NewYork/255/1999,1999,2,10,Winter
A/NewYork/257/1999,1999,2,3,Winter
A/NewYork/271/2003,2003,11,28,Winter
A/NewYork/273/2001,2001,12,29,Winter
A/NewYork/274/2002,2002,2,26,Winter
A/NewYork/276/2002,2002,3,7,Winter
A/NewYork/277/1999,1999,1,8,Winter
A/NewYork/279/1999,1999,2,23,Winter
A/NewYork/280/1999,1999,4,12,Summer
A/NewYork/282/1999,1999,2,11,Winter
A/NewYork/288/1999,1999,2,26,Winter
A/NewYork/289/1998,1998,12,4,Winter
A/NewYork/290/1999,1999,2,17,Winter
A/NewYork/304/1998,1998,12,30,Winter
A/NewYork/311/1999,1999,3,1,Winter
A/NewYork/313/1998,1998,12,28,Winter
A/NewYork/314/1999,1999,2,3,Winter
A/NewYork/315/1999,1999,1,6,Winter
A/NewYork/317/1999,1999,1,4,Winter
A/NewYork/318/1999,1999,2,2,Winter
A/NewYork/320/1999,1999,3,26,Winter
A/NewYork/321/1999,1999,1,17,Winter
A/NewYork/323/1999,1999,1,25,Winter
A/NewYork/327/1999,1999,3,24,Winter
A/NewYork/329/1999,1999,2,1,Winter
A/NewYork/333/1999,1999,2,16,Winter
A/NewYork/335/1999,1999,1,20,Winter
A/NewYork/336/1999,1999,2,24,Winter
A/NewYork/337/1999,1999,3,8,Winter
A/NewYork/338/1999,1999,2,8,Winter
A/NewYork/340/1999,1999,1,23,Winter
A/NewYork/126/2002,2002,3,1,Winter
A/NewYork/260/1999,1999,2,11,Winter
A/NewYork/278/1999,1999,2,4,Winter
A/NewYork/324/1999,1999,1,26,Winter
A/NewYork/331/1999,1999,1,28,Winter
A/NewYork/332/1999,1999,2,17,Winter
A/NewYork/359/2005,2005,1,17,Winter
A/NewYork/361/2005,2005,2,2,Winter
A/NewYork/378/2005,2005,1,3,Winter
A/NewYork/379/2004,2004,11,30,Winter
A/NewYork/382/2005,2005,1,29,Winter
A/NewYork/386/2004,2004,12,22,Winter
A/NewYork/387/2004,2004,12,27,Winter
A/NewYork/391/2005,2005,1,7,Winter
A/NewYork/392/2004,2004,12,21,Winter
A/NewYork/396/2005,2005,3,4,Winter
A/NewYork/244/2004,2004,12,24,Winter
A/NewYork/254/1998,1998,12,31,Winter
A/NewYork/275/2002,2002,1,4,Winter
A/NewYork/283/1999,1999,2,12,Winter
A/NewYork/285/1999,1999,1,25,Winter
A/NewYork/316/1999,1999,1,26,Winter
A/NewYork/322/1999,1999,3,18,Winter
A/NewYork/356/2004,2004,12,1,Winter
A/NewYork/357/2005,2005,2,15,Winter
A/NewYork/366/2004,2004,12,20,Winter
A/NewYork/369/2005,2005,1,3,Winter
A/NewYork/370/2004,2004,12,20,Winter
A/NewYork/371/2004,2004,12,9,Winter
A/NewYork/372/2004,2004,12,22,Winter
A/NewYork/374/2004,2004,12,27,Winter
A/NewYork/375/2005,2005,1,29,Winter
A/NewYork/381/2004,2004,12,28,Winter
A/NewYork/383/2004,2004,12,29,Winter
A/NewYork/388/2005,2005,1,28,Winter
A/NewYork/98/2004,2004,11,4,Winter
A/NewYork/207/2004,2004,12,9,Winter
A/NewYork/347/1999,1999,1,19,Winter
A/NewYork/398/1999,1999,3,24,Winter
A/NewYork/153/1999,1999,12,9,Winter
A/NewYork/77/2001,2001,12,26,Winter
A/NewYork/266/1999,1999,5,6,Summer
A/NewYork/272/2003,2003,11,28,Winter
A/NewYork/325/1999,1999,2,26,Winter
A/NewYork/328/1998,1998,12,28,Winter
A/NewYork/330/1998,1998,12,30,Winter
A/NewYork/334/2004,2004,12,21,Winter
A/NewYork/353/2004,2004,11,5,Winter
A/NewYork/360/2004,2004,11,18,Winter
A/NewYork/362/2004,2004,12,8,Winter
A/NewYork/365/2004,2004,12,16,Winter
A/NewYork/367/2005,2005,2,16,Winter
A/NewYork/373/2005,2005,2,22,Winter
A/NewYork/384/2005,2005,1,6,Winter
A/NewYork/385/2004,2004,12,28,Winter
A/NewYork/390/2005,2005,1,5,Winter
A/NewYork/393/2005,2005,3,23,Winter
A/NewYork/218/2004,2004,12,7,Winter
A/NewYork/140/1999,1999,12,27,Winter
A/NewYork/204/2003,2003,8,16,Summer
A/NewYork/251/1998,1998,12,28,Winter
A/NewYork/252/1999,1999,1,12,Winter
A/NewYork/261/1999,1999,4,9,Summer
A/NewYork/339/1999,1999,2,9,Winter
A/NewYork/358/2004,2004,12,1,Winter
A/NewYork/377/2004,2004,12,20,Winter
A/NewYork/380/2004,2004,12,26,Winter
A/NewYork/190/2004,2004,11,11,Winter
A/NewYork/319/2004,2004,11,8,Winter
A/NewYork/352/2005,2005,1,4,Winter
A/NewYork/363/2004,2004,12,15,Winter
A/NewYork/394/2005,2005,1,4,Winter
A/NewYork/68/2004,2004,11,6,Winter
A/NewYork/200/2004,2004,11,22,Winter
A/NewYork/210/2005,2005,2,15,Winter
A/NewYork/232/2004,2004,12,9,Winter
A/NewYork/301/2001,2001,1,21,Winter
A/NewYork/351/2004,2004,11,6,Winter
A/NewYork/364/2004,2004,12,28,Winter
A/NewYork/376/2005,2005,1,18,Winter
A/NewYork/395/2005,2005,1,24,Winter
A/NewYork/123/2004,2004,12,16,Winter
A/NewYork/401/2001,2001,11,21,Winter
A/NewYork/402/2001,2001,12,27,Winter
A/NewYork/403/2002,2002,1,4,Winter
A/NewYork/404/2002,2002,1,5,Winter
A/NewYork/405/2002,2002,1,7,Winter
A/NewYork/406/2002,2002,1,8,Winter
A/NewYork/408/2002,2002,1,11,Winter
A/NewYork/409/2002,2002,1,14,Winter
A/NewYork/410/2002,2002,1,15,Winter
A/NewYork/411/2002,2002,1,22,Winter
A/NewYork/412/2002,2002,2,1,Winter
A/NewYork/413/2002,2002,2,8,Winter
A/NewYork/414/2002,2002,2,12,Winter
A/NewYork/415/2002,2002,2,22,Winter
A/NewYork/416/2002,2002,2,28,Winter
A/NewYork/418/2002,2002,1,16,Winter
A/NewYork/419/2002,2002,1,18,Winter
A/NewYork/424/1999,1999,12,16,Winter
A/NewYork/426/1999,1999,12,20,Winter
A/NewYork/427/1999,1999,12,27,Winter
A/NewYork/431/2000,2000,1,3,Winter
A/NewYork/433/2000,2000,1,5,Winter
A/NewYork/434/2000,2000,1,9,Winter
A/NewYork/436/2000,2000,1,10,Winter
A/NewYork/437/2000,2000,1,12,Winter
A/NewYork/438/2000,2000,1,18,Winter
A/NewYork/354/2004,2004,12,28,Winter
A/NewYork/389/2005,2005,1,4,Winter
A/NewYork/236/2004,2004,12,27,Winter
A/NewYork/237/2004,2004,12,16,Winter
A/NewYork/407/2002,2002,1,8,Winter
A/NewYork/421/1999,1999,12,31,Winter
A/NewYork/425/1999,1999,12,17,Winter
A/NewYork/430/2000,2000,1,3,Winter
A/NewYork/439/2000,2000,1,23,Winter
A/NewYork/448/1998,1998,11,23,Winter
A/NewYork/449/1999,1999,1,4,Winter
A/NewYork/450/1999,1999,1,8,Winter
A/NewYork/451/1999,1999,1,11,Winter
A/NewYork/453/1999,1999,1,12,Winter
A/NewYork/454/1999,1999,1,13,Winter
A/NewYork/456/1999,1999,1,15,Winter
A/NewYork/457/1999,1999,1,15,Winter
A/NewYork/458/1999,1999,1,22,Winter
A/NewYork/459/1999,1999,1,25,Winter
A/NewYork/463/2005,2005,2,9,Winter
A/NewYork/464/2005,2005,3,7,Winter
A/NewYork/468/2004,2004,9,17,Summer
A/NewYork/471/2004,2004,11,8,Winter
A/NewYork/485/2003,2003,1,20,Winter
A/NewYork/420/2002,2002,1,28,Winter
A/NewYork/422/1999,1999,12,15,Winter
A/NewYork/423/1999,1999,12,16,Winter
A/NewYork/428/1999,1999,9,28,Summer
A/NewYork/429/2000,2000,1,3,Winter
A/NewYork/432/2000,2000,1,5,Winter
A/NewYork/440/2000,2000,1,24,Winter
A/NewYork/452/1999,1999,1,11,Winter
A/NewYork/455/1999,1999,1,14,Winter
A/NewYork/461/2005,2005,2,2,Winter
A/NewYork/465/2005,2005,3,8,Winter
A/NewYork/470/2004,2004,9,27,Summer
A/NewYork/355/2004,2004,11,1,Winter
A/NewYork/191/2005,2005,1,7,Winter
A/NewYork/206/2005,2005,1,19,Winter
A/NewYork/238/2005,2005,2,1,Winter
A/NewYork/243/2005,2005,2,2,Winter
A/NewYork/258/2005,2005,1,18,Winter
A/NewYork/397/1999,1999,2,4,Winter
A/NewYork/469/2004,2004,9,20,Summer
A/NewYork/503/1997,1997,11,29,Winter
A/NewYork/505/1997,1997,12,2,Winter
A/NewYork/508/1997,1997,12,22,Winter
A/NewYork/510/1998,1998,2,20,Winter
A/NewYork/511/1997,1997,12,17,Winter
A/NewYork/513/1997,1997,12,24,Winter
A/NewYork/515/1997,1997,12,21,Winter
A/NewYork/517/1998,1998,1,3,Winter
A/NewYork/462/2005,2005,2,8,Winter
A/NewYork/466/2004,2004,11,27,Winter
A/NewYork/467/2004,2004,9,17,Summer
A/NewYork/368/2004,2004,11,11,Winter
A/NewYork/501/1997,1997,11,26,Winter
A/NewYork/509/1997,1997,12,23,Winter
A/NewYork/512/1998,1998,1,29,Winter
A/NewYork/516/1997,1997,12,26,Winter
A/NewYork/518/1998,1998,1,5,Winter
A/NewYork/519/1998,1998,2,13,Winter
A/NewYork/520/1998,1998,1,5,Winter
A/NewYork/521/1998,1998,1,19,Winter
A/NewYork/522/1997,1997,12,31,Winter
A/NewYork/523/1998,1998,2,2,Winter
A/NewYork/524/1997,1997,12,31,Winter
A/NewYork/525/1998,1998,3,3,Winter
A/NewYork/528/1998,1998,1,8,Winter
A/NewYork/531/1998,1998,2,22,Winter
A/NewYork/532/1998,1998,1,18,Winter
A/NewYork/533/1998,1998,2,1,Winter
A/NewYork/534/1998,1998,1,29,Winter
A/NewYork/539/1998,1998,2,10,Winter
A/NewYork/541/1998,1998,3,12,Winter
A/NewYork/542/1998,1998,2,19,Winter
A/NewYork/543/1998,1998,2,17,Winter
A/NewYork/545/1997,1997,12,26,Winter
A/NewYork/546/1998,1998,1,26,Winter
A/NewYork/547/1997,1997,12,28,Winter
A/NewYork/548/1998,1998,2,12,Winter
A/NewYork/435/2000,2000,1,9,Winter
A/NewYork/535/1998,1998,3,5,Winter
A/NewYork/506/1998,1998,2,2,Winter
A/NewYork/527/1998,1998,3,15,Winter
A/NewYork/538/1998,1998,2,8,Winter
A/NewYork/214/2003,2003,4,23,Summer
A/NewYork/460/1999,1999,1,25,Winter
A/NewYork/326/1999,1999,1,21,Winter
A/NewYork/245/2004,2004,11,18,Winter
A/NewYork/526/1997,1997,12,29,Winter
A/NewYork/472/2004,2004,9,27,Summer
A/NewYork/502/1998,1998,3,20,Winter
A/NewYork/73/2004,2004,10,19,Winter
A/NewYork/544/1998,1998,2,2,Winter
A/NewYork/473/2003,2003,11,24,Winter
A/NewYork/474/2003,2003,12,31,Winter
A/NewYork/475/2003,2003,12,8,Winter
A/NewYork/476/2003,2003,12,15,Winter
A/NewYork/478/2003,2003,11,21,Winter
A/NewYork/498/2004,2004,1,13,Winter
A/NewYork/479/2003,2003,11,12,Winter
A/NewYork/504/1998,1998,1,1,Winter
A/NewYork/507/1997,1997,12,17,Winter
A/NewYork/514/1998,1998,1,13,Winter
A/NewYork/529/1998,1998,2,28,Winter
A/NewYork/530/1998,1998,1,19,Winter
A/NewYork/540/1998,1998,2,15,Winter
A/NewYork/549/1998,1998,1,19,Winter
A/NewYork/550/1998,1998,1,25,Winter
A/NewYork/477/2003,2003,11,19,Winter
A/NewYork/480/2004,2004,1,12,Winter
A/NewYork/499/2004,2004,1,15,Winter
A/NewYork/500/2004,2004,12,10,Winter
A/NewYork/560/1997,1997,1,6,Winter
A/NewYork/564/1997,1997,1,2,Winter
A/NewYork/565/1996,1996,12,2,Winter
A/NewYork/569/1997,1997,1,3,Winter
A/NewYork/570/1996,1996,12,12,Winter
A/NewYork/573/1996,1996,12,23,Winter
A/NewYork/575/1996,1996,12,17,Winter
A/NewYork/579/1997,1997,1,2,Winter
A/NewYork/583/1997,1997,3,1,Winter
A/NewYork/558/1997,1997,1,6,Winter
A/NewYork/566/1997,1997,1,17,Winter
A/NewYork/568/1996,1996,12,11,Winter
A/NewYork/574/1996,1996,12,12,Winter
A/NewYork/576/1997,1997,1,6,Winter
A/NewYork/580/1996,1996,12,5,Winter
A/NewYork/581/1997,1997,1,17,Winter
A/NewYork/585/1997,1997,1,22,Winter
A/NewYork/586/1996,1996,12,21,Winter
A/NewYork/587/1996,1996,11,18,Winter
A/NewYork/588/1996,1996,12,28,Winter
A/NewYork/589/1996,1996,12,18,Winter
A/NewYork/590/1996,1996,12,10,Winter
A/NewYork/597/1997,1997,1,6,Winter
A/NewYork/584/1996,1996,12,31,Winter
A/NewYork/593/1996,1996,12,9,Winter
A/NewYork/536/1998,1998,2,3,Winter
A/NewYork/562/1996,1996,12,13,Winter
A/NewYork/563/1996,1996,11,12,Winter
A/NewYork/567/1996,1996,12,5,Winter
A/NewYork/582/1996,1996,12,2,Winter
A/NewYork/591/1996,1996,12,20,Winter
A/NewYork/592/1996,1996,12,4,Winter
A/NewYork/594/1996,1996,11,18,Winter
A/NewYork/595/1996,1996,12,18,Winter
A/NewYork/596/1996,1996,12,12,Winter
A/NewYork/600/1996,1996,12,23,Winter
A/NewYork/617/1996,1996,3,19,Winter
A/NewYork/572/1996,1996,12,12,Winter
A/NewYork/578/1996,1996,12,27,Winter
A/NewYork/561/1996,1996,12,22,Winter
A/NewYork/603/1996,1996,12,9,Winter
A/NewYork/606/1995,1995,11,28,Winter
A/NewYork/608/1996,1996,4,1,Summer
A/NewYork/609/1995,1995,12,18,Winter
A/NewYork/610/1995,1995,12,18,Winter
A/NewYork/611/1995,1995,12,28,Winter
A/NewYork/612/1995,1995,12,19,Winter
A/NewYork/613/1996,1996,1,10,Winter
A/NewYork/618/1995,1995,12,28,Winter
A/NewYork/619/1996,1996,1,10,Winter
A/NewYork/622/1996,1996,1,8,Winter
A/NewYork/625/1996,1996,1,15,Winter
A/NewYork/628/1995,1995,12,12,Winter
A/NewYork/631/1996,1996,4,4,Summer
A/NewYork/634/1995,1995,12,8,Winter
A/NewYork/637/1996,1996,1,17,Winter
A/NewYork/648/1995,1995,12,14,Winter
A/NewYork/555/1996,1996,12,23,Winter
A/NewYork/623/1995,1995,12,29,Winter
A/NewYork/733/1994,1994,2,7,Winter
A/NewYork/599/1996,1996,12,16,Winter
A/NewYork/602/1996,1996,12,23,Winter
A/NewYork/557/1996,1996,11,21,Winter
A/NewYork/559/1996,1996,11,25,Winter
A/NewYork/692/1995,1995,1,18,Winter
A/NewYork/695/1995,1995,3,2,Winter
A/NewYork/696/1994,1994,12,30,Winter
A/NewYork/697/1995,1995,2,10,Winter
A/NewYork/698/1995,1995,1,31,Winter
A/NewYork/702/1995,1995,1,9,Winter
A/NewYork/703/1995,1995,1,24,Winter
A/NewYork/708/1994,1994,1,11,Winter
A/NewYork/732/1994,1994,1,6,Winter
A/NewYork/571/1996,1996,12,18,Winter
A/NewYork/577/1996,1996,12,24,Winter
A/NewYork/624/1996,1996,2,16,Winter
A/NewYork/632/1996,1996,3,1,Winter
A/NewYork/635/1996,1996,1,18,Winter
A/NewYork/636/1996,1996,1,22,Winter
A/NewYork/641/1996,1996,1,3,Winter
A/NewYork/654/1994,1994,11,3,Winter
A/NewYork/658/1995,1995,2,21,Winter
A/NewYork/659/1994,1994,12,8,Winter
A/NewYork/662/1995,1995,1,9,Winter
A/NewYork/665/1994,1994,12,16,Winter
A/NewYork/669/1995,1995,1,11,Winter
A/NewYork/671/1995,1995,1,6,Winter
A/NewYork/672/1995,1995,1,17,Winter
A/NewYork/674/1995,1995,1,19,Winter
A/NewYork/679/1995,1995,3,3,Winter
A/NewYork/693/1995,1995,3,21,Winter
A/NewYork/751/1993,1993,11,8,Winter
A/NewYork/647/1995,1995,12,27,Winter
A/NewYork/652/1996,1996,4,1,Summer
A/NewYork/684/1995,1995,1,23,Winter
A/NewYork/685/1995,1995,2,8,Winter
A/NewYork/687/1995,1995,2,6,Winter
A/NewYork/689/1995,1995,1,22,Winter
A/NewYork/709/1994,1994,1,6,Winter
A/NewYork/711/1994,1994,1,12,Winter
A/NewYork/712/1993,1993,12,2,Winter
A/NewYork/715/1994,1994,7,29,Summer
A/NewYork/716/1994,1994,1,17,Winter
A/NewYork/719/1994,1994,1,20,Winter
A/NewYork/720/1994,1994,1,24,Winter
A/NewYork/721/1994,1994,1,13,Winter
A/NewYork/726/1994,1994,2,9,Winter
A/NewYork/727/1994,1994,1,31,Winter
A/NewYork/728/1994,1994,2,1,Winter
A/NewYork/752/1993,1993,12,30,Winter
A/NewYork/756/1993,1993,2,2,Winter
A/NewYork/758/1993,1993,2,3,Winter
A/NewYork/759/1993,1993,3,8,Winter
A/NewYork/760/1993,1993,2,9,Winter
A/NewYork/761/1993,1993,3,3,Winter
A/NewYork/762/1993,1993,2,4,Winter
A/NewYork/763/1993,1993,3,26,Winter
A/NewYork/764/1993,1993,2,23,Winter
A/NewYork/765/1993,1993,3,3,Winter
A/NewYork/556/1996,1996,11,19,Winter
A/NewYork/598/1996,1996,12,17,Winter
A/NewYork/639/1995,1995,12,18,Winter
A/NewYork/657/1994,1994,12,2,Winter
A/NewYork/670/1995,1995,1,11,Winter
A/NewYork/675/1995,1995,1,24,Winter
A/NewYork/677/1995,1995,2,18,Winter
A/NewYork/682/1995,1995,3,1,Winter
A/NewYork/722/1994,1994,3,2,Winter
A/NewYork/729/1994,1994,2,25,Winter
A/NewYork/730/1994,1994,1,4,Winter
A/NewYork/734/1994,1994,1,6,Winter
A/NewYork/655/1994,1994,11,17,Winter
A/NewYork/661/1994,1994,12,15,Winter
A/NewYork/663/1994,1994,12,20,Winter
A/NewYork/664/1995,1995,3,13,Winter
A/NewYork/666/1995,1995,2,8,Winter
A/NewYork/667/1995,1995,1,8,Winter
A/NewYork/668/1995,1995,2,18,Winter
A/NewYork/678/1995,1995,1,20,Winter
A/NewYork/691/1995,1995,1,3,Winter
A/NewYork/700/1995,1995,2,14,Winter
A/NewYork/705/1994,1994,1,31,Winter
